,Importancia
worst area,0.16791080744568235
worst symmetry,0.159198368255716
worst texture,0.13900636766247054
mean symmetry,0.1161571627141054
worst smoothness,0.11004279973821812
mean concave points,0.06085558737762462
mean area,0.04799503696552288
mean texture,0.04603705179551718
mean smoothness,0.04083620885682817
worst concave points,0.02668134658697116
smoothness error,0.024575921022621624
mean concavity,0.010200895164076008
area error,0.010065708887115016
worst concavity,0.009641091430716625
texture error,0.007956667116279825
mean perimeter,0.005821676394793501
worst perimeter,0.0038467782527665862
label,0.0037351891331580457
worst compactness,0.002447198369688419
worst fractal dimension,0.0023559036336985185
radius error,0.0007552176003872566
concave points error,0.0007439275636669593
mean compactness,0.0006409869532938821
concavity error,0.0005958844489496478
compactness error,0.0004793798972120239
fractal dimension error,0.0004720093460195
symmetry error,0.00041388431397686187
worst radius,0.0003249738312630041
perimeter error,0.00013457219834485653
mean fractal dimension,7.139704331536127e-05
