,Variance,Ratio,Cumulatives
PC1,1.994368962471496,18.12881386886591,18.12881386886591
PC2,1.0574446232505115,9.612171625347155,27.740985494213067
PC3,1.0295684552914965,9.35877725859971,37.09976275281278
PC4,1.0187443771822229,9.260386388586413,46.36014914139919
PC5,1.0033900851266018,9.120815873800817,55.480965015200006
PC6,0.9980170974473446,9.071975415796368,64.55294043099637
PC7,0.9915275045867095,9.012985016693195,73.56592544768957
PC8,0.9788955839660167,8.8981608582511,82.46408630594067
PC9,0.9641865424442053,8.764455670817831,91.22854197675849
PC10,0.9594893003627134,8.721757740297072,99.95029971705557
PC11,0.00546757788167537,0.04970028294442915,100.0
